# [OII]3727+3729 [OIII]5007 [NII]6584 [SII]6717+6731 Z_direct_method Reference
# **********************************************************************************
# **** Please refer to Pilyugin & Grebel (2016) and Ho (2019) for details of   *****
# **** this compilation and cite corresponding paper(s) should this becomes    *****
# **** useful for your work                                                    *****
# **********************************************************************************
# Pilyugin & Grebel (2016) compilation
2.577    3.333    0.206    0.544    8.122    deBlok1998AA335
1.305    6.260    0.026    0.149    7.990    Dinerstein1986ApJ311
4.467    1.698    0.447    0.635    8.061    Edmunds1984MNRAS211
3.162    2.512    0.204    0.248    8.473    Edmunds1984MNRAS211
1.030    3.020    0.290    0.212    8.342    Esteban2009ApJ700
1.350    0.970    0.590    0.259    8.404    Esteban2009ApJ700
1.430    2.830    0.320    0.158    8.361    Esteban2009ApJ700
2.050    0.920    0.456    0.217    8.421    Esteban2009ApJ700
1.147    2.110    0.265    0.254    8.344    Esteban2009ApJ700
1.330    3.050    0.261    0.358    8.331    Esteban2009ApJ700
0.252    5.720    0.017    0.068    7.703    Esteban2009ApJ700
1.430    1.450    0.390    0.251    8.337    Esteban2009ApJ700
1.067    1.510    0.275    0.185    8.267    Esteban2009ApJ700
1.337    1.930    0.305    0.289    8.302    Esteban2009ApJ700
1.080    3.180    0.142    0.430    8.119    Esteban2009ApJ700
0.860    6.070    0.044    0.163    8.011    Esteban2009ApJ700
3.548    1.995    0.380    0.370    8.642    Fierro1986PASP98
3.020    3.467    0.182    0.268    8.292    Fierro1986PASP98
0.462    8.020    0.038    0.092    8.150    French1980ApJ240
2.160    4.380    0.123    0.380    8.215    French1980ApJ240
1.260    5.320    0.058    0.142    7.814    French1980ApJ240
0.784    3.070    0.084    0.192    7.573    French1980ApJ240
1.510    6.410    0.056    0.208    8.203    French1980ApJ240
1.820    4.370    0.156    0.330    8.047    French1980ApJ240
1.270    7.010    0.063    0.177    7.984    French1980ApJ240
0.708    6.130    0.020    0.103    7.728    French1980ApJ240
0.244    5.092    0.009    0.031    7.455    Fricke2001AJ121
2.442    3.122    0.108    0.269    7.867    Garnett1994ApJ426
2.260    1.470    0.329    0.325    8.088    Garnett1997ApJ489
2.190    2.390    0.224    0.407    7.917    Garnett1997ApJ489
2.520    3.140    0.193    0.368    8.010    Garnett1997ApJ489
0.670    0.082    1.040    0.487    8.766    Garnett2004ApJ607
1.620    0.200    1.090    0.440    8.502    Garnett2004ApJ607
0.432    7.460    0.034    0.067    7.853    ConzalezDelgado1994ApJ4
0.710    6.300    0.024    0.097    7.771    ConzalezDelgado1994ApJ4
0.840    5.800    0.029    0.128    7.788    ConzalezDelgado1994ApJ4
0.770    6.360    0.024    0.105    7.878    ConzalezDelgado1994ApJ4
1.500    5.300    0.053    0.220    7.822    ConzalezDelgado1994ApJ4
0.890    6.290    0.030    0.126    7.867    ConzalezDelgado1994ApJ4
0.600    6.800    0.022    0.092    7.900    ConzalezDelgado1994ApJ4
0.420    6.900    0.018    0.078    7.865    ConzalezDelgado1994ApJ4
0.500    6.800    0.020    0.084    7.894    ConzalezDelgado1994ApJ4
0.840    6.370    0.024    0.098    7.844    ConzalezDelgado1994ApJ4
0.839    7.409    0.063    0.121    8.077    Guseva2000ApJ531
1.513    4.134    0.138    0.321    8.079    Guseva2000ApJ531
1.264    5.466    0.057    0.280    7.793    Guseva2000ApJ531
1.152    5.485    0.074    0.156    8.249    Guseva2000ApJ531
0.471    4.204    0.012    0.063    7.457    Guseva2001AA378
0.587    4.215    0.016    0.064    7.413    Guseva2001AA378
1.346    1.888    0.039    0.234    7.288    Guseva2003AA407p75
1.758    3.049    0.066    0.261    7.369    Guseva2003AA407p75
0.535    4.976    0.023    0.071    7.579    Guseva2003AA407p91
1.376    2.317    0.066    0.225    7.487    Guseva2003AA407p91
0.949    3.542    0.032    0.153    7.572    Guseva2003AA407p105
1.085    3.169    0.042    0.184    7.586    Guseva2003AA407p105
0.279    6.114    0.016    0.076    7.733    Guseva2004AA421
0.991    6.215    0.057    0.138    8.034    Guseva2009AA505
3.312    2.751    0.205    0.716    8.022    Guseva2009AA505
3.044    2.678    0.266    0.797    7.863    Guseva2009AA505
1.295    2.065    0.054    0.214    7.549    Guseva2009AA505
1.604    1.403    0.065    0.282    7.293    Guseva2009AA505
1.543    1.376    0.051    0.248    7.130    Guseva2009AA505
2.237    2.889    0.093    0.367    7.427    Guseva2009AA505
1.086    0.947    0.043    0.125    6.962    Guseva2009AA505
0.880    0.602    0.039    0.149    7.025    Guseva2009AA505
1.523    5.437    0.049    0.205    7.921    Guseva2009AA505
1.385    1.667    0.048    0.188    7.297    Guseva2009AA505
2.946    3.366    0.200    0.501    8.054    Guseva2011AA529
1.072    3.679    0.031    0.163    7.660    Guseva2011AA529
0.901    4.023    0.030    0.160    7.653    Guseva2011AA529
1.056    5.229    0.053    0.190    7.935    Guseva2011AA529
0.615    5.091    0.025    0.106    7.639    Guseva2011AA529
0.386    6.480    0.024    0.098    7.862    Guseva2011AA529
1.930    1.266    0.729    0.300    8.495    Guseva2011AA529
0.931    5.789    0.106    0.219    8.229    Guseva2011AA529
1.709    1.618    0.849    0.339    8.301    Guseva2011AA529
1.047    5.558    0.047    0.156    7.973    Guseva2011AA529
0.813    6.524    0.035    0.135    8.051    Guseva2011AA529
0.308    5.118    0.008    0.036    7.465    Guseva2011AA529
0.842    6.656    0.132    0.111    7.985    Guseva2011AA529
1.485    4.459    0.125    0.270    8.166    Guseva2011AA529
1.516    4.896    0.133    0.207    8.242    Guseva2011AA529
1.576    3.852    0.138    0.432    8.386    Guseva2011AA529
1.165    9.274    0.027    0.119    7.973    Guseva2011AA529
2.589    6.277    0.082    0.209    8.424    Guseva2011AA529
0.945    4.362    0.072    0.169    7.973    Guseva2011AA529
1.139    5.316    0.055    0.195    8.081    Guseva2011AA529
0.502    5.843    0.018    0.087    7.697    Guseva2011AA529
0.825    6.647    0.046    0.108    7.869    Guseva2011AA529
0.478    7.473    0.033    0.092    7.914    Guseva2011AA529
2.179    3.094    0.212    0.453    8.096    Hagele2008MNRAS383
0.849    6.152    0.043    0.135    8.036    Hagele2008MNRAS383
1.762    5.154    0.219    0.230    7.951    Hagele2008MNRAS383
2.080    3.800    0.287    0.305    8.270    Hawley1978ApJ224
1.100    6.400    0.050    0.160    8.178    Hidalgo2001AA369
1.100    6.300    0.050    0.150    8.165    Hidalgo2001AA369
2.310    3.000    0.050    0.300    7.516    Hidalgo2001AA369
2.500    2.800    0.150    0.500    7.476    Hidalgo2001AA369
1.450    3.700    0.040    0.180    7.618    Hodge1995ApJ451
1.040    4.320    0.130    0.340    8.006    Hodge1995ApJ451
1.055    2.818    0.029    0.112    7.507    Izotov1994ApJ435
0.505    3.390    0.016    0.075    7.223    Izotov1994ApJ435
1.487    5.455    0.064    0.196    7.993    Izotov1994ApJ435
1.346    4.765    0.067    0.200    8.108    Izotov1994ApJ435
0.887    6.043    0.040    0.122    7.573    Izotov1994ApJ435
0.677    3.460    0.022    0.096    6.854    Izotov1994ApJ435
0.646    4.648    0.020    0.095    7.617    Izotov1994ApJ435
0.886    5.458    0.032    0.120    7.757    Izotov1994ApJ435
1.401    5.268    0.059    0.228    7.923    Izotov1994ApJ435
0.612    6.591    0.024    0.086    7.824    Izotov1997ApJS108
1.576    4.303    0.055    0.196    7.802    Izotov1997ApJS108
